2014-10-16 21:30:27,994 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 21:30:28,009 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 21:30:34,165 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:30:34,169 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-10-16 21:30:34,187 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:30:34,188 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 21:30:35,379 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 21:30:54,117 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:30:54,172 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-10-16 21:30:54,175 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:30:54,176 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 21:31:39,581 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 21:31:40,132 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:31:40,133 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-10-16 21:31:40,136 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:31:40,137 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 21:31:51,608 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
